Date,Cancelled_A,Cancelled_B,Cancelled_C,Cancelled_D
2004-01-31,4594.0,5264.0,1680.0,4.0
2004-02-29,6834.0,6384.0,2314.0,18.0
2004-03-31,3341.0,2312.0,1425.0,4.0
2004-04-30,2816.0,713.0,571.0,2.0
2004-05-31,4587.0,2884.0,3407.0,9.0
2004-06-30,4481.0,1726.0,2097.0,10.0
2004-07-31,4397.0,1340.0,3082.0,1.0
2004-08-31,5727.0,3385.0,2476.0,2.0
2004-09-30,5074.0,9727.0,1700.0,38.0
2004-10-31,5265.0,2101.0,1514.0,10.0
2004-11-30,3795.0,1751.0,1468.0,10.0
2004-12-31,6880.0,6534.0,1782.0,7.0
2005-01-31,8249.0,16148.0,2536.0,3.0
2005-02-28,4336.0,2592.0,1776.0,0.0
2005-03-31,4583.0,3500.0,1486.0,66.0
2005-04-30,4517.0,2400.0,1140.0,3.0
2005-05-31,4364.0,1234.0,1077.0,4.0
2005-06-30,4477.0,1804.0,1898.0,2.0
2005-07-31,7060.0,4501.0,4389.0,3.0
2005-08-31,6320.0,2682.0,1927.0,3.0
2005-09-30,5021.0,6219.0,1574.0,2.0
2005-10-31,4743.0,3760.0,2642.0,4.0
2005-11-30,2874.0,1497.0,1026.0,2.0
2005-12-31,3755.0,5028.0,1554.0,0.0
2006-01-31,4772.0,3041.0,2356.0,0.0
2006-02-28,3764.0,6437.0,1305.0,78.0
2006-03-31,3692.0,1944.0,1166.0,13.0
2006-04-30,4631.0,1152.0,2050.0,32.0
2006-05-31,3228.0,839.0,1738.0,0.0
2006-06-30,4843.0,2203.0,2348.0,0.0
2006-07-31,6390.0,2139.0,3942.0,4.0
2006-08-31,4665.0,1010.0,1756.0,5.0
2006-09-30,5199.0,2811.0,2755.0,2.0
2006-10-31,5916.0,3299.0,3451.0,0.0
2006-11-30,3670.0,1567.0,2040.0,4.0
2006-12-31,5497.0,11747.0,3577.0,19.0
2007-01-31,5025.0,7983.0,1811.0,0.0
2007-02-28,7520.0,15363.0,1827.0,2.0
2007-03-31,5459.0,7959.0,2743.0,0.0
2007-04-30,5444.0,4466.0,3474.0,29.0
2007-05-31,3150.0,1485.0,1355.0,0.0
2007-06-30,5734.0,2514.0,3992.0,0.0
2007-07-31,8102.0,4813.0,5575.0,4.0
2007-08-31,6361.0,2032.0,3516.0,4.0
2007-09-30,5091.0,1256.0,1560.0,0.0
2007-10-31,3743.0,1642.0,1441.0,0.0
2007-11-30,3044.0,1018.0,1210.0,0.0
2007-12-31,7866.0,11188.0,3423.0,0.0
2008-01-31,5923.0,6025.0,2565.0,0.0
2008-02-29,6055.0,10362.0,5212.0,2.0
2008-03-31,6799.0,7883.0,2802.0,4.0
2008-04-30,7172.0,1564.0,1748.0,0.0
2008-05-31,2935.0,1113.0,1491.0,0.0
2008-06-30,4717.0,3868.0,3660.0,3.0
2008-07-31,4629.0,2455.0,2528.0,0.0
2008-08-31,4637.0,3793.0,2614.0,0.0
2008-09-30,2075.0,6472.0,1164.0,1.0
2008-10-31,1788.0,434.0,247.0,0.0
2008-11-30,2990.0,1109.0,1338.0,2.0
2008-12-31,4558.0,9407.0,2837.0,0.0
2009-01-31,292.0,635.0,50.0,0.0
