Date,Cancelled
1988-01-31,15755
1988-02-29,7323
1988-03-31,3123
1988-04-30,2414
1988-05-31,2627
1988-06-30,1203
1988-07-31,2750
1988-08-31,2478
1988-09-30,2038
1988-10-31,2306
1988-11-30,3517
1988-12-31,4629
1989-01-31,7040
1989-02-28,8106
1989-03-31,22858
1989-04-30,2086
1989-05-31,2523
1989-06-30,3722
1989-07-31,2953
1989-08-31,2692
1989-09-30,5195
1989-10-31,4211
1989-11-30,3497
1989-12-31,9282
1990-01-31,7546
1990-02-28,7722
1990-03-31,5799
1990-04-30,1984
1990-05-31,2619
1990-06-30,2677
1990-07-31,3225
1990-08-31,3071
1990-09-30,3417
1990-10-31,2940
1990-11-30,2034
1990-12-31,9424
1991-01-31,9424
1991-02-28,6155
1991-03-31,3991
1991-04-30,2859
1991-05-31,2614
1991-06-30,1742
1991-07-31,2158
1991-08-31,2209
1991-09-30,2165
1991-10-31,3528
1991-11-30,3691
1991-12-31,2969
1992-01-31,6302
1992-02-29,3171
1992-03-31,5466
1992-04-30,2154
1992-05-31,1948
1992-06-30,1799
1992-07-31,2633
1992-08-31,4330
1992-09-30,3534
1992-10-31,9662
1992-11-30,3645
1992-12-31,8192
1993-01-31,7550
1993-02-28,7804
1993-03-31,16812
1993-04-30,3442
1993-05-31,1812
1993-06-30,3071
1993-07-31,2001
1993-08-31,2383
1993-09-30,2819
1993-10-31,2607
1993-11-30,5116
1993-12-31,4428
1994-01-31,20595
1994-02-28,16927
1994-03-31,5207
1994-04-30,2469
1994-05-31,1680
1994-06-30,2685
1994-07-31,3812
1994-08-31,2427
1994-09-30,1747
1994-10-31,2192
1994-11-30,2661
1994-12-31,4338
1995-01-31,14261
1995-02-28,9954
1995-03-31,7352
1995-04-30,5841
1995-05-31,6417
1995-06-30,5800
1995-07-31,5823
1995-08-31,7608
1995-09-30,4998
1995-10-31,4891
1995-11-30,6280
1995-12-31,12680
1996-01-31,29595
1996-02-29,14587
1996-03-31,8923
1996-04-30,5522
1996-05-31,7044
1996-06-30,8023
1996-07-31,9350
1996-08-31,7948
1996-09-30,7720
1996-10-31,7947
1996-11-30,9547
1996-12-31,12330
1997-01-31,18142
1997-02-28,8613
1997-03-31,8347
1997-04-30,7054
1997-05-31,5179
1997-06-30,6785
1997-07-31,7887
1997-08-31,6926
1997-09-30,6355
1997-10-31,7533
1997-11-30,6727
1997-12-31,8215
1998-01-31,13880
1998-02-28,10484
1998-03-31,9847
1998-04-30,6952
1998-05-31,9393
1998-06-30,12870
1998-07-31,9330
1998-08-31,14726
1998-09-30,32893
1998-10-31,7815
1998-11-30,6419
1998-12-31,9900
1999-01-31,26543
1999-02-28,14523
1999-03-31,12419
1999-04-30,8923
1999-05-31,11857
1999-06-30,12676
1999-07-31,14873
1999-08-31,11711
1999-09-30,15243
1999-10-31,9751
1999-11-30,7631
1999-12-31,8161
2000-01-31,24515
2000-02-29,15188
2000-03-31,10237
2000-04-30,11642
2000-05-31,16513
2000-06-30,18632
2000-07-31,15526
2000-08-31,14991
2000-09-30,10365
2000-10-31,10369
2000-11-30,10912
2000-12-31,28600
2001-01-31,19891
2001-02-28,17448
2001-03-31,17876
2001-04-30,11414
2001-05-31,9452
2001-06-30,15509
2001-07-31,11286
2001-08-31,13318
2001-09-30,99324
2001-10-31,6850
2001-11-30,4497
2001-12-31,4333
2002-01-31,7301
2002-02-28,4323
2002-03-31,6033
2002-04-30,4513
2002-05-31,4442
2002-06-30,7666
2002-07-31,6260
2002-08-31,5339
2002-09-30,3686
2002-10-31,4549
2002-11-30,3675
2002-12-31,7356
2003-01-31,8341
2003-02-28,20001
2003-03-31,9554
2003-04-30,6334
2003-05-31,4313
2003-06-30,4161
2003-07-31,7835
2003-08-31,9109
2003-09-30,7691
2003-10-31,5091
2003-11-30,7407
2003-12-31,11632
2004-01-31,17611
2004-02-29,9481
2004-03-31,7603
2004-04-30,4485
2004-05-31,10381
2004-06-30,8796
2004-07-31,10132
2004-08-31,10163
2004-09-30,17969
2004-10-31,6695
2004-11-30,7337
2004-12-31,17104
2005-01-31,25084
2005-02-28,9505
2005-03-31,10169
2005-04-30,7532
2005-05-31,5877
2005-06-30,9916
2005-07-31,13851
2005-08-31,13452
2005-09-30,11532
2005-10-31,10475
2005-11-30,5586
2005-12-31,10751
2006-01-31,9787
2006-02-28,11293
2006-03-31,7586
2006-04-30,6604
2006-05-31,7057
2006-06-30,10088
2006-07-31,10735
2006-08-31,9783
2006-09-30,9950
2006-10-31,11399
2006-11-30,9558
2006-12-31,18094
2007-01-31,15777
2007-02-28,25465
2007-03-31,16877
2007-04-30,11138
2007-05-31,6841
2007-06-30,17243
2007-07-31,13506
2007-08-31,12295
2007-09-30,6507
2007-10-31,7327
2007-11-30,6279
2007-12-31,21493
2008-01-31,17308
2008-02-29,20596
2008-03-31,16183
2008-04-30,10355
2008-05-31,6229
2008-06-30,10931
2008-07-31,10598
2008-08-31,9835
2008-09-30,9913
2008-10-31,3249
2008-11-30,4458
2008-12-31,17779
