Date,Delay
1988-03-31,476439
1988-09-30,651197
1989-03-31,892459
1989-09-30,835826
1990-03-31,936501
1990-09-30,727783
1991-03-31,807338
1991-09-30,583627
1992-03-31,659365
1992-09-30,627307
1993-03-31,779069
1993-09-30,567950
1994-03-31,795367
1994-09-30,636058
1995-03-31,833464
1995-09-30,792656
1996-03-31,1088651
1996-09-30,952323
1997-03-31,1073765
1997-09-30,838594
1998-03-31,946656
1998-09-30,918988
1999-03-31,925689
1999-09-30,1055515
2000-03-31,948579
2000-09-30,1216736
2001-03-31,1239224
2001-09-30,1011338
2002-03-31,730112
2002-09-30,762564
2003-03-31,803176
2003-09-30,855745
2004-03-31,1069446
2004-09-30,1219709
2005-03-31,1342975
2005-09-30,1282339
2006-03-31,1296209
2006-09-30,1464773
2007-03-31,1610693
2007-09-30,1629774
2008-03-31,1614495
2008-09-30,1329414
2009-03-31,581407
